game_id,turn,snake_id,snake_name,health,length,alive
43f7bfa8-6fb5-492a-8551-2cfe754118aa,0,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,100,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,0,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,100,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,0,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,100,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,0,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,100,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,1,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,99,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,2,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,98,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,3,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,97,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,3,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,97,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,3,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,98,3,0
43f7bfa8-6fb5-492a-8551-2cfe754118aa,3,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,98,3,0
43f7bfa8-6fb5-492a-8551-2cfe754118aa,3,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,97,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,3,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,97,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,3,fb3a2278-1836-4712-bd35-158d05c28350,Friendly 2,98,3,0
43f7bfa8-6fb5-492a-8551-2cfe754118aa,3,9fca5171-70b0-486d-b384-7e97ddcc8f33,Competitive 2,98,3,0
43f7bfa8-6fb5-492a-8551-2cfe754118aa,4,30148e5f-466d-4f77-a34f-d635f465b8a4,Friendly 1,96,3,1
43f7bfa8-6fb5-492a-8551-2cfe754118aa,4,a92633c4-c806-4d3c-89f8-76359092e8a5,Competitive 1,96,3,1
